,prompt_hash,prompt_id_unique,participant_a_prompt_text,participant_b_prompt_text,ipc_a,ipc_b,interaction_type
0,00000000,P0070_v3.4.fam_ANCP_XXXX,"Tell your partner about a time when you went out of your way to make someone feel included or welcome in a social situation. What did you do, and how did the person respond? What did you learn from the experience?","Your partner will tell you about a time they made an effort to include someone. Discuss with them the challenges and rewards of being hospitable in social situations, and explore ways to create a more inclusive environment for others.",ANCP,,ipc_conversation
1,00000001,P0066_v3.4.fam_AMCM_XXXX,Your partner will tell you about a time they felt like they didn't speak up or assert themselves. Discuss with them what they could have done differently and how you can support each other in similar situations.,Recall a conversation or situation where you felt like you didn't speak up or assert yourself as much as you should have. Describe what happened and what you would do differently if faced with a similar situation in the future.,AMCM,,ipc_conversation
2,00000003,P0065_v3.4.fam_APCN_XXXX,Your partner will tell you about a cause they're passionate about. Listen to their perspective and discuss potential strategies for making progress on the issue.,"Discuss a topic or issue that you feel strongly about and have been advocating for over time. What is it about this issue that motivates you to keep fighting for it, and what progress have you seen?",APCN,,ipc_conversation
3,00000004,P0002_v3.4.aac_ANCP_XXXX-148,"You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is “I’m feeling *confused*.”) You say it out loud while frowning and raising your eyebrows at the word “confused.”
Partner: Responds saying “Why?” and acts with a concerned facial expression.

Alternate with your partner until you’ve completed your list or the moderator asks you to move on.

You will go first.

Here's your list:
The *bulky* sweater kept him warm during the winter.
He is typing on the *computer*.
She is *rinsing* the vegetables.
She is *walking* to the store.
She is filled with *love*.
He is fidgeting with *anxiety*.
The music is *mellow*.
She is visibly *stressed*.
He is *farewelling* his friends.
She had *a copious amount of* notes for the exam.","You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is “I’m feeling *confused*.”) You say it out loud while frowning and raising your eyebrows at the word “confused.”
Partner: Responds saying “Why?” and acts with a concerned facial expression.

Alternate with your partner until you’ve completed your list or the moderator asks you to move on.

Your partner will go first.

Here's your list:
She is *accepting* the offer.
She carried a *compact* umbrella that fit easily in her bag.
She is driving the *car*.
He is *peeling* the potatoes.
She is gasping in *surprise*.
He is showing *disgust*.
He is speaking with *enthusiasm*.
The music is *gentle*.
He is *forgiving* the mistake.
They are *gossiping* quietly.",ANCP,,grounded_gesture
4,00000005,P0074_v3.4.fam_ANCM_XXXX,"Discuss a situation where you witnessed someone being disrespected, either by your partner or someone else. Describe what happened and how you felt about it. Ask your partner if they think the behavior was justified.",Your partner will describe a situation where they witnessed disrespect. Share your thoughts on the situation and discuss whether the behavior was acceptable or not.,ANCM,,ipc_conversation
5,00000006,P0075_v3.4.fam_APCM_XXXX,Think about a time when you felt like you needed to take charge of a situation involving your partner. Describe the situation and why you felt the need to control it. Be honest about how you think your partner felt about your actions.,Your partner will tell you about a time they felt like you were being too controlling. Share your perspective on the situation and discuss how you could have handled it differently.,APCM,,ipc_conversation
6,00000007,P0077_v3.4.fam_APCP_XXXX,Your partner will tell you about a hobby or activity they think you should try together. Listen to their suggestion and discuss the pros and cons of giving it a shot.,Discuss a hobby or activity that you enjoy doing together with your partner. Explain why you think it's a good way for you to spend time together and what you get out of it.,APCP,,ipc_conversation
7,00000008,P0079_v3.4.fam_APCP_XXXX,"Think about a time when you attended a social event, such as a party or gathering, and had a particularly great time. Tell your partner about the event and what made it so enjoyable.",Your partner will tell you about a fun social event they attended. Ask them questions about the event and discuss what you both like to do in social situations.,APCP,,ipc_conversation
8,00000009,P0078_v3.4.fam_AMCN_XXXX,"Your partner will tell you about a time they felt lazy, but it was actually a sign of something else. Listen to their story and share a time when you experienced something similar, discussing how you both recovered and what you learned from the experience.","Discuss with your partner a time when you felt like you were being lazy, but it was actually a sign of burnout or exhaustion. What were the warning signs, and how did you eventually address the underlying issue?",AMCN,,ipc_conversation
9,00000011,P0076_v3.4.fam_AMCP_XXXX,"Tell your partner about a skill or talent you possess, but don't often showcase. Explain why you're hesitant to share it with others and ask for their honest opinion on how you could use it more effectively.",Your partner will share a hidden skill or talent with you. Listen to their story and offer suggestions on how they could utilize it more in their life.,AMCP,,ipc_conversation
