vendor_id,session_id,relationship,relationship_detail
V03,1805,familiar,coworkers
V03,1936,familiar,coworkers
V03,1380,familiar,familiar-generic
V03,1334,stranger,stranger
V03,1381,familiar,familiar-generic
V03,1261,stranger,stranger
V03,1572,familiar,coworkers
V03,1604,stranger,stranger
V03,1484,stranger,stranger
V03,1377,familiar,familiar-generic
V03,1285,stranger,stranger
V03,1903,familiar,siblings
V03,1032,stranger,stranger
V03,1044,stranger,stranger
V03,2150,familiar,friends
V03,1042,stranger,stranger
V03,1259,familiar,friends
V03,1260,stranger,stranger
V03,1102,stranger,stranger
V03,1099,stranger,stranger
V03,1382,familiar,familiar-generic
V03,2118,familiar,friends
V03,2115,familiar,friends
V03,2112,familiar,friends
V03,2114,familiar,friends
V03,1647,stranger,stranger
V03,0894,stranger,stranger
V03,2071,familiar,friends
V03,1876,stranger,stranger
V03,2111,familiar,friends
V03,2117,familiar,friends
V03,2147,familiar,friends
V03,2109,familiar,friends
V03,2145,familiar,friends
V03,2113,familiar,friends
V03,1182,familiar,friends
V03,2108,familiar,friends
V03,2040,familiar,friends
V03,1840,stranger,stranger
V03,2076,familiar,friends
V03,2116,familiar,friends
V03,1769,stranger,stranger
V03,2110,familiar,coworkers
V03,2091,familiar,friends
V03,2090,familiar,friends
V03,1051,stranger,stranger
V03,1451,stranger,stranger
V03,2068,familiar,friends
V03,0998,stranger,stranger
V03,1088,stranger,stranger
V03,1052,stranger,stranger
V03,2078,familiar,friends
V03,0994,familiar,coworkers
V03,2070,familiar,friends
V03,2081,familiar,friends
V03,2074,familiar,friends
V03,2082,familiar,friends
V03,2072,familiar,coworkers
V03,2089,familiar,coworkers
V03,2086,familiar,friends
V03,2087,familiar,friends
V03,2075,familiar,friends
V03,2083,familiar,friends
V03,2059,familiar,friends
V03,2079,familiar,friends
V03,2085,familiar,coworkers
V03,2080,familiar,friends
V03,2069,familiar,friends
V03,2084,familiar,dating/spouse/romantic_partner
V03,2054,familiar,friends
V03,2057,familiar,friends
V03,2077,familiar,coworkers
V03,2073,familiar,friends
V03,2088,familiar,friends
V03,2051,familiar,coworkers
V03,2055,familiar,coworkers
V03,2056,familiar,coworkers
V03,2048,familiar,friends
V03,2058,familiar,friends
V03,2052,familiar,friends
V03,2045,familiar,coworkers
V03,2050,familiar,coworkers
V03,2046,familiar,coworkers
V03,1951,familiar,coworkers
V03,2044,familiar,friends
V03,2042,familiar,friends
V03,2001,familiar,friends
V03,2037,familiar,friends
V03,1776,familiar,coworkers
V03,2038,familiar,friends
V03,1962,familiar,friends
V03,2004,familiar,friends
V03,1795,familiar,dating/spouse/romantic_partner
V03,1770,stranger,stranger
V03,2036,familiar,friends
V03,1771,familiar,coworkers
V03,1954,familiar,coworkers
V03,1799,familiar,friends
V03,1955,familiar,coworkers
V03,2041,familiar,coworkers
V03,2015,familiar,friends
V03,1952,familiar,coworkers
V03,1973,familiar,coworkers
V03,1783,stranger,stranger
V03,1794,familiar,friends
V03,1977,familiar,coworkers
V03,1773,familiar,coworkers
V03,1791,familiar,friends
V03,2053,familiar,coworkers
V03,1792,familiar,friends
V03,2023,familiar,friends
V03,1793,familiar,friends
V03,1768,familiar,coworkers
V03,1798,familiar,coworkers
V03,1984,familiar,coworkers
V03,1797,familiar,friends
V03,1801,familiar,coworkers
V03,1800,familiar,coworkers
V03,1974,familiar,coworkers
V03,1975,familiar,coworkers
V03,1950,familiar,coworkers
V03,2010,familiar,friends
V03,2049,familiar,coworkers
V03,1949,familiar,coworkers
V03,1963,familiar,friends
V03,1982,familiar,coworkers
V03,1983,familiar,friends
V03,1985,familiar,friends
V03,2035,familiar,friends
V03,1956,familiar,friends
V03,2008,familiar,friends
V03,1999,familiar,friends
V03,1957,familiar,friends
V03,1796,familiar,friends
V03,2011,familiar,friends
V03,2003,familiar,friends
V03,2000,familiar,friends
V03,1961,familiar,friends
V03,1960,familiar,friends
V03,2014,familiar,friends
V03,2002,familiar,friends
V03,1775,familiar,coworkers
V03,2007,familiar,friends
V03,2039,familiar,friends
V03,2005,familiar,friends
V03,1898,familiar,coworkers
V03,2009,familiar,friends
V03,1900,familiar,coworkers
V03,2013,familiar,friends
V03,2006,familiar,friends
V03,2012,familiar,friends
V03,1772,familiar,coworkers
V03,1851,familiar,coworkers
V03,1964,familiar,friends
V03,1884,familiar,coworkers
V03,1880,familiar,coworkers
V03,1879,familiar,coworkers
V03,1883,familiar,coworkers
V03,1882,familiar,coworkers
V03,1847,familiar,coworkers
V03,1878,familiar,friends
V03,1774,familiar,coworkers
V03,1875,familiar,friends
V03,1877,familiar,friends
V03,1873,stranger,stranger
V03,1885,familiar,friends
V03,1848,familiar,coworkers
V03,1037,familiar,familiar-generic
V03,1841,stranger,stranger
V03,1777,familiar,coworkers
V03,1881,familiar,friends
V03,1308,stranger,stranger
V03,1310,stranger,stranger
V03,1312,stranger,stranger
V03,1306,stranger,stranger
V03,1305,stranger,stranger
V03,1298,stranger,stranger
V03,1282,familiar,friends
V03,1273,stranger,stranger
V03,1281,stranger,stranger
V03,1251,stranger,stranger
V03,1254,stranger,stranger
V03,1256,stranger,stranger
V03,1280,stranger,stranger
V03,1302,stranger,stranger
V03,1247,stranger,stranger
V03,1278,stranger,stranger
V03,1250,stranger,stranger
V03,1246,stranger,stranger
V03,1253,stranger,stranger
V03,1325,stranger,stranger
V03,1330,stranger,stranger
V03,1324,familiar,familiar-generic
V03,1241,stranger,stranger
V03,1326,stranger,stranger
V03,1245,stranger,stranger
V03,1313,stranger,stranger
V03,1327,familiar,familiar-generic
V03,1323,stranger,stranger
V03,1317,stranger,stranger
V03,1240,stranger,stranger
V03,1320,stranger,stranger
V03,1316,stranger,stranger
V03,1297,stranger,stranger
V03,1236,stranger,stranger
V03,1239,stranger,stranger
V03,1100,familiar,familiar-generic
V03,1269,stranger,stranger
V03,1299,stranger,stranger
V03,1109,stranger,stranger
V03,1229,stranger,stranger
V03,1277,familiar,familiar-generic
V03,1272,stranger,stranger
V03,1235,stranger,stranger
V03,1234,stranger,stranger
V03,1242,stranger,stranger
V03,1237,stranger,stranger
V03,1309,stranger,stranger
V03,1231,stranger,stranger
V03,1329,stranger,stranger
V03,1304,stranger,stranger
V03,1318,stranger,stranger
V03,1210,stranger,stranger
V03,1172,stranger,stranger
V03,1279,stranger,stranger
V03,1227,stranger,stranger
V03,1173,stranger,stranger
V03,1238,stranger,stranger
V03,1101,stranger,stranger
V03,1159,stranger,stranger
V03,1307,familiar,familiar-generic
V03,1179,stranger,stranger
V03,1220,stranger,stranger
V03,1271,stranger,stranger
V03,1276,stranger,stranger
V03,1174,stranger,stranger
V03,1270,stranger,stranger
V03,1249,stranger,stranger
V03,1232,stranger,stranger
V03,1209,stranger,stranger
V03,1187,stranger,stranger
V03,1218,stranger,stranger
V03,1233,stranger,stranger
V03,1228,stranger,stranger
V03,1178,stranger,stranger
V03,1300,stranger,stranger
V03,1176,stranger,stranger
V03,1177,stranger,stranger
V03,1170,stranger,stranger
V03,1175,stranger,stranger
V03,1188,stranger,stranger
V03,1332,stranger,stranger
V03,1219,stranger,stranger
V03,1230,stranger,stranger
V03,1214,stranger,stranger
V03,1190,stranger,stranger
V03,1215,stranger,stranger
V03,1211,stranger,stranger
V03,1171,stranger,stranger
V03,1257,stranger,stranger
V03,1331,stranger,stranger
V03,1189,stranger,stranger
V03,1296,stranger,stranger
V03,1252,stranger,stranger
V03,1213,stranger,stranger
V03,1314,stranger,stranger
V03,0954,stranger,stranger
V03,1319,stranger,stranger
V03,1216,stranger,stranger
V03,1226,stranger,stranger
V03,1328,stranger,stranger
V03,1217,stranger,stranger
V03,1244,stranger,stranger
V03,1221,familiar,familiar-generic
V03,1333,stranger,stranger
V03,1248,stranger,stranger
V03,1301,stranger,stranger
V03,1322,stranger,stranger
V03,1023,stranger,stranger
V03,0919,stranger,stranger
V03,0914,stranger,stranger
V03,0884,stranger,stranger
V03,0922,stranger,stranger
V03,0926,stranger,stranger
V03,1022,stranger,stranger
V03,0915,stranger,stranger
V03,1315,stranger,stranger
V03,0923,stranger,stranger
V03,1125,stranger,stranger
V03,1018,stranger,stranger
V03,0921,stranger,stranger
V03,1062,stranger,stranger
V03,0920,stranger,stranger
V03,0898,stranger,stranger
V03,0990,stranger,stranger
V03,1055,stranger,stranger
V03,1036,familiar,familiar-generic
V03,1035,stranger,stranger
V03,0924,familiar,familiar-generic
V03,0907,stranger,stranger
V03,0925,familiar,familiar-generic
V03,1021,stranger,stranger
V03,0938,stranger,stranger
V03,1020,stranger,stranger
V03,0917,stranger,stranger
V03,1075,stranger,stranger
V03,1019,familiar,familiar-generic
V03,1028,familiar,friends
V03,1053,stranger,stranger
V03,1025,stranger,stranger
V03,1039,stranger,stranger
V03,1034,stranger,stranger
V03,1027,familiar,familiar-generic
V03,1031,stranger,stranger
V03,1026,stranger,stranger
V03,1024,stranger,stranger
V03,0202,stranger,stranger
V03,0203,stranger,stranger
V03,0184,stranger,stranger
V03,0199,familiar,familiar-generic
V03,0187,stranger,stranger
V03,0190,stranger,stranger
V03,0204,stranger,stranger
V03,0191,stranger,stranger
V03,0185,stranger,stranger
V03,0180,stranger,stranger
V03,0196,stranger,stranger
V03,0186,stranger,stranger
V03,0201,stranger,stranger
V03,0192,stranger,stranger
V03,0194,stranger,stranger
V03,0046,stranger,stranger
V03,0200,familiar,familiar-generic
V03,0197,familiar,coworkers
V03,0045,stranger,stranger
V03,0047,stranger,stranger
V03,0042,stranger,stranger
V03,0040,stranger,stranger
V03,0032,stranger,stranger
V03,0044,stranger,stranger
V03,0043,stranger,stranger
V03,0030,stranger,stranger
V03,0028,stranger,stranger
V03,0033,familiar,familiar-generic
V03,0181,familiar,familiar-generic
V03,0193,stranger,stranger
V03,0039,stranger,stranger
V03,0031,stranger,stranger
V03,0198,familiar,familiar-generic
V03,0337,stranger,stranger
V03,0341,stranger,stranger
V03,0319,stranger,stranger
V03,0342,stranger,stranger
V03,0335,stranger,stranger
V03,0323,stranger,stranger
V03,0320,stranger,stranger
V03,0318,stranger,stranger
V03,0327,stranger,stranger
V03,0331,stranger,stranger
V03,0328,stranger,stranger
V03,0325,stranger,stranger
V03,0334,stranger,stranger
V03,0412,stranger,stranger
V03,0425,stranger,stranger
V03,0417,stranger,stranger
V03,0329,stranger,stranger
V03,0336,stranger,stranger
V03,0332,stranger,stranger
V03,0419,stranger,stranger
V03,0422,stranger,stranger
V03,0397,stranger,stranger
V03,0394,stranger,stranger
V03,0418,stranger,stranger
V03,0423,familiar,familiar-generic
V03,0395,stranger,stranger
V03,0401,stranger,stranger
V03,0391,stranger,stranger
V03,0424,stranger,stranger
V03,2065,familiar,friends
V03,0392,stranger,stranger
V03,0399,stranger,stranger
V03,0406,stranger,stranger
V03,0354,stranger,stranger
V03,0333,stranger,stranger
V03,2066,familiar,friends
V03,2063,familiar,coworkers
V03,0393,stranger,stranger
V03,2064,familiar,coworkers
V03,2067,familiar,coworkers
V03,2017,familiar,coworkers
V03,0396,familiar,coworkers
V03,2061,familiar,coworkers
V03,2016,familiar,coworkers
V03,0398,familiar,familiar-generic
V03,0402,stranger,stranger
V03,2019,familiar,coworkers
V03,0408,stranger,stranger
V03,1994,familiar,coworkers
V03,1993,familiar,coworkers
V03,0405,stranger,stranger
V03,1989,familiar,coworkers
V03,1998,familiar,coworkers
V03,1995,familiar,coworkers
V03,1991,familiar,coworkers
V03,0409,stranger,stranger
V03,1972,familiar,coworkers
V03,1094,familiar,friends
V03,1098,familiar,friends
V03,1970,familiar,coworkers
V03,1968,familiar,friends
V03,1919,familiar,friends
V03,1969,familiar,friends
V03,1097,familiar,friends
V03,0910,familiar,friends
V03,1986,familiar,coworkers
V03,0407,stranger,stranger
V03,0404,stranger,stranger
V03,0413,stranger,stranger
V03,2060,familiar,friends
V03,1924,familiar,friends
V03,2020,familiar,coworkers
V03,2018,familiar,coworkers
V03,1922,familiar,friends
V03,1918,familiar,friends
V03,0411,stranger,stranger
V03,1971,familiar,coworkers
V03,1096,familiar,friends
V03,1921,familiar,neighbors
V03,1997,familiar,coworkers
V03,1988,familiar,coworkers
V03,1992,familiar,coworkers
V03,1996,familiar,friends
V03,1311,stranger,stranger
V03,1987,familiar,coworkers
V03,1966,familiar,friends
V03,2062,familiar,friends
V03,1767,stranger,stranger
V03,1967,familiar,friends
V03,1923,familiar,friends
V03,1920,familiar,friends
V03,1095,familiar,friends
V03,0146,stranger,stranger
V03,1926,familiar,friends
V03,0143,stranger,stranger
V03,1965,familiar,friends
V03,0147,stranger,stranger
V03,1925,familiar,friends
V03,0182,stranger,stranger
V03,1948,familiar,coworkers
V03,0145,stranger,stranger
V03,0151,stranger,stranger
V03,0149,stranger,stranger
V03,0153,familiar,familiar-generic
V03,1990,familiar,friends
V03,0142,stranger,stranger
V03,0154,stranger,stranger
V03,0152,familiar,familiar-generic
V03,1080,stranger,stranger
V03,0148,stranger,stranger
V03,0150,stranger,stranger
V03,1016,stranger,stranger
V03,1013,stranger,stranger
V03,1011,stranger,stranger
V03,1012,stranger,stranger
V03,1005,stranger,stranger
V03,1009,stranger,stranger
V03,0892,stranger,stranger
V03,0936,stranger,stranger
V03,1002,stranger,stranger
V03,1015,stranger,stranger
V03,0861,stranger,stranger
V03,1006,stranger,stranger
V03,1001,stranger,stranger
V03,1008,stranger,stranger
V03,1004,stranger,stranger
V03,1007,stranger,stranger
V03,1045,stranger,stranger
V03,0160,stranger,stranger
V03,1056,stranger,stranger
V03,0159,stranger,stranger
V03,0158,familiar,familiar-generic
V03,1061,stranger,stranger
V03,0155,stranger,stranger
V03,0156,stranger,stranger
V03,0999,stranger,stranger
V03,0157,stranger,stranger
V03,0509,stranger,stranger
V03,1059,stranger,stranger
V03,1047,stranger,stranger
V03,0508,stranger,stranger
V03,0507,stranger,stranger
V03,0935,stranger,stranger
V03,1057,stranger,stranger
V03,0890,stranger,stranger
V03,0941,familiar,familiar-generic
V03,0572,stranger,stranger
V03,0989,stranger,stranger
V03,1060,stranger,stranger
V03,0366,stranger,stranger
V03,0942,stranger,stranger
V03,1003,stranger,stranger
V03,1079,familiar,familiar-generic
V03,0975,stranger,stranger
V03,0973,stranger,stranger
V03,0978,stranger,stranger
V03,0937,stranger,stranger
V03,0983,stranger,stranger
V03,1014,stranger,stranger
V03,1017,stranger,stranger
V03,0971,stranger,stranger
V03,0782,stranger,stranger
V03,0317,stranger,stranger
V03,0991,stranger,stranger
V03,0986,stranger,stranger
V03,0982,stranger,stranger
V03,0974,stranger,stranger
V03,0976,stranger,stranger
V03,0972,stranger,stranger
V03,0977,stranger,stranger
V03,0980,stranger,stranger
V03,1058,stranger,stranger
V03,0988,stranger,stranger
V03,0979,stranger,stranger
V03,0316,stranger,stranger
V03,0987,stranger,stranger
V03,0315,stranger,stranger
V03,0985,stranger,stranger
V03,0981,stranger,stranger
V03,0997,stranger,stranger
V03,0992,stranger,stranger
V03,0312,stranger,stranger
V03,0984,stranger,stranger
V03,1145,stranger,stranger
V03,0311,stranger,stranger
V03,1144,stranger,stranger
V03,1138,stranger,stranger
V03,1139,stranger,stranger
V03,1140,stranger,stranger
V03,1135,stranger,stranger
V03,0296,stranger,stranger
V03,0299,stranger,stranger
V03,0298,stranger,stranger
V03,0287,stranger,stranger
V03,1134,stranger,stranger
V03,0284,stranger,stranger
V03,1115,stranger,stranger
V03,1133,stranger,stranger
V03,1141,stranger,stranger
V03,0308,stranger,stranger
V03,1143,stranger,stranger
V03,1126,stranger,stranger
V03,1072,stranger,stranger
V03,0313,stranger,stranger
V03,1128,stranger,stranger
V03,0288,stranger,stranger
V03,1116,stranger,stranger
V03,1117,stranger,stranger
V03,1029,familiar,friends
V03,1030,stranger,stranger
V03,1069,stranger,stranger
V03,0307,familiar,familiar-generic
V03,1142,stranger,stranger
V03,1067,familiar,familiar-generic
V03,0310,stranger,stranger
V03,1070,stranger,stranger
V03,1131,stranger,stranger
V03,1118,stranger,stranger
V03,1181,stranger,stranger
V03,1119,stranger,stranger
V03,1136,stranger,stranger
V03,1127,stranger,stranger
V03,1130,stranger,stranger
V03,0306,stranger,stranger
V03,1071,familiar,familiar-generic
V03,1132,stranger,stranger
V03,1073,stranger,stranger
V03,1129,stranger,stranger
V03,0116,stranger,stranger
V03,1137,stranger,stranger
V03,0117,stranger,stranger
V03,0114,familiar,dating/spouse/romantic_partner
V03,0102,stranger,stranger
V03,0097,stranger,stranger
V03,0105,familiar,familiar-generic
V03,0096,stranger,stranger
V03,0099,stranger,stranger
V03,0111,stranger,stranger
V03,0112,stranger,stranger
V03,0095,stranger,stranger
V03,0103,familiar,parent_child
V03,0101,stranger,stranger
V03,0098,stranger,stranger
V03,0108,stranger,stranger
V03,0115,stranger,stranger
V03,0107,stranger,stranger
V03,0104,familiar,friends
V03,0100,stranger,stranger
V03,0109,stranger,stranger
V03,0113,familiar,familiar-generic
V03,0110,stranger,stranger
V03,0933,stranger,stranger
V03,0948,stranger,stranger
V03,0889,stranger,stranger
V03,1063,stranger,stranger
V03,0847,stranger,stranger
V03,0106,stranger,stranger
V03,0928,stranger,stranger
V03,0883,familiar,friends
V03,0888,stranger,stranger
V03,0881,familiar,friends
V03,0779,stranger,stranger
V03,0771,familiar,coworkers
V03,0684,stranger,stranger
V03,0770,stranger,stranger
V03,0866,stranger,stranger
V03,0607,stranger,stranger
V03,0932,stranger,stranger
V03,0781,stranger,stranger
V03,0887,stranger,stranger
V03,0934,stranger,stranger
V03,0775,stranger,stranger
V03,0846,familiar,familiar-generic
V03,0573,stranger,stranger
V03,0876,stranger,stranger
V03,0868,stranger,stranger
V03,0772,stranger,stranger
V03,0864,familiar,familiar-generic
V03,0780,stranger,stranger
V03,0862,stranger,stranger
V03,0845,stranger,stranger
V03,0773,stranger,stranger
V03,0874,stranger,stranger
V03,0863,stranger,stranger
V03,0870,stranger,stranger
V03,0873,stranger,stranger
V03,0778,stranger,stranger
V03,0872,familiar,coworkers
V03,0777,stranger,stranger
V03,0776,stranger,stranger
V03,0877,stranger,stranger
V03,0867,stranger,stranger
V03,2156,stranger,stranger
V03,0871,stranger,stranger
V03,0869,stranger,stranger
V03,0878,familiar,friends
V03,0875,stranger,stranger
V03,0774,stranger,stranger
V03,0879,familiar,familiar-generic
V03,0880,stranger,stranger
V03,0882,stranger,stranger
V03,0886,stranger,stranger
V03,0865,stranger,stranger
V03,0566,stranger,stranger
V03,1605,familiar,friends
V03,1609,familiar,friends
V03,1602,familiar,friends
V03,1593,familiar,coworkers
V03,0885,stranger,stranger
V03,1588,stranger,stranger
V03,1610,familiar,friends
V03,1584,familiar,coworkers
V03,1607,stranger,stranger
V03,1582,familiar,coworkers
V03,1600,familiar,coworkers
V03,1576,familiar,coworkers
V03,1571,stranger,stranger
V03,1574,familiar,coworkers
V03,1578,stranger,stranger
V03,1546,stranger,stranger
V03,1568,stranger,stranger
V03,1494,stranger,stranger
V03,1577,familiar,coworkers
V03,1543,familiar,friends
V03,1596,familiar,coworkers
V03,1587,stranger,stranger
